HOT_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Status,Warning,Type_strain,16S_rRNA,Clone_count,Clone_%,Clone_rank,Synonyms,NCBI_taxon_id,NCBI_pubmed_count,NCBI_nucleotide_count,NCBI_protein_count,Genome_ID,General_info,Cultivability,Phenotypic_characteristics,Prevalence,Disease,References
14,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,oralis,Named,,6332|DSM 25276|LMG 26725,AY005025|AY005023|GQ131417|JN104029,60,0.17,109, Oral Clone AP085|Oral Clone AP015 | Neisseria sp. F0314| Neisseria sp. oral taxon 014,1107316,2,17,1,SEQF1659,Neisseria sp. Oral taxon 014 strain F0314 has been isolated from a human subject by the Moore&#39;s Laboratory in June 1982. The subject was a 23 year old American white female. The bacteria was isolated from the subgingival oral biofilm at a healthy site. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference GQ131417. The strain is available at www.bei.org under the reference HM-91. This strain is part of the reference strains for the oral section of the Human Microbiome Project.&nbsp; The species has been named Neisseria oralis.&nbsp; The genome is available as ADEA00000000.&nbsp; The genome link above may be disrupted until name at NCBI officially gets changed.,,,,,
15,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sp. oral taxon 015,Dropped,,,AY005026,0,0,0,Oral Clone AP060,,0,0,0,,N/A,,,,,
16,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sp. oral taxon 016,Dropped,,,AY005024,0,0,0,Oral Clone AP067,,0,0,0,,N/A,,,,,
18,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sp. oral taxon 018,Phylotype,,,AY005027,5,0.01,343,Oral Clone AP132,,0,5,0,,N/A,,,,,
20,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sp. oral taxon 020,Unnamed,,,AY005028,5,0.01,343,Strain TFI B33KA,,0,472,5752,SEQF1944,N/A,,,,,
21,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,vestibularis,Named,,,AY188353,61,0.17,106,,1343,20,491,7053,SEQF1705|SEQF2004,N/A,,,,,
22,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,mirabilis,Named,,,AY005030|X73223,138,0.4,50,,47671,7,191,5330,SEQF1967,N/A,,,,,
23,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,acidovorans,Named,,,AB020186,4,0.01,365,Comamonas acidivorans|Comamonas acidovorans|Pseudomonas acidovorans|Pseudomonas desmolytica|Pseudomonas indoloxidans,80866,121,694,44640,SEQF1413|SEQF2536|SEQF2537|SEQF2709,N/A,,,,,
24,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,thermodepolymerans,Named,,DSM 15264,AF125876,0,0,0,dehydroabietic acid-degrading bacterium DhA-71,,0,0,0,,N/A,,,,,
25,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,sp. oral taxon 025,Phylotype,,,AF385528,11,0.03,267,Oral Clone AV011a,,0,11,0,,N/A,,,,,
26,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,aquatica,Named,,LMG 23380,AF385538,9,0.03,294,Oral Clone CA004,,0,9,0,,N/A,,,,,
27,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,gilardii,Unnamed,,,AY005039,0,0,0,Strain TFI C37KA,,0,0,0,,N/A,,,,,
28,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rhodocyclus,sp. oral taxon 028,Unnamed,,,AY005031,14,0.04,236,Strain TFI A08KA,,0,14,0,,N/A,,,,,
29,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,vincentii,Named,,,AF033309,5,0.01,343,,69710,59,207,9551,SEQF1610|SEQF1947,N/A,,,,,
32,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp. oral taxon 032,Phylotype,,,AF385547,8,0.02,309,Oral Clone AZ002,,0,8,0,,N/A,,,,,
35,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,paraphrohaemolyticus,Named,,NCTC 10670,AY005034,11,0.03,267,Oral Clone BJ021,,0,11,0,,N/A,,,,,
36,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,sp. oral taxon 036,Unnamed,,,AY005033,110,0.32,64,Clone BJ095|Strain P7A_FAAD5|Strain W6487,,0,110,0,,N/A,,,,,
37,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,nitritireducens,Named,,ATCC BAA-12,AF385546,82,0.24,86,Oral Clone AY088,,0,82,0,,N/A,,,,,
38,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,uli,Named,,,AF292373,14,0.04,236,Atopobium uli|Lactobacillus uli,133926,19,43,7180,SEQF1031|SEQF2631,N/A,,,,,
39,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,sp. oral taxon 039,Phylotype,,,AF385539,1,0,459,Oral Clone CA006,,0,1,0,,N/A,,,,,
40,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,sp. oral taxon 040,Phylotype,,,AY005035,3,0.01,387,Oral Clone BB161,,0,3,0,,N/A,,,,,
41,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,sp. oral taxon 041,Phylotype,,,AY005037,32,0.09,158,Oral Clone R004,,0,875,0,SEQF2485|SEQF2486|SEQF2538|SEQF2548,N/A,,,,,
42,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Mogibacterium,timidum,Named,,,U13042,94,0.27,78,Eubacterium timidum,35519,9,133,1657,SEQF2630,N/A,,,,,
44,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,sp. oral taxon 044,Phylotype,,,AY005038,6,0.02,332,Oral Clone BB120,,0,6,0,,N/A,,,,,
45,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,clausii,Named,,,AJ297498|AB043853,12,0.03,255,,79880,69,12897,17592,SEQF1170,N/A,,,,,
46,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,morbillorum,Named,,ATCC 27824,L14327|Y13366,546,1.57,7,Diplococcus morbillorum|Peptostreptococcus morbillorum|Streptococcus morbillorum,29391,151,661,3184,SEQF2298,This species was formerly known as Streptococcus morbillorum but was moved to Gemella on the basis of phylogenetic analysis based on 16S rRNA sequence comparisons.,Facultative anaerobe producing small (,Gram positive cocci found in pairs or short chains. Weakly fermentative and generally unreactive in commonly used biochemical and physiological tests and thus difficult to definitively identify by phenotypic means; molecular identification is recommended [1].,"Found in dental plaque, on the tongue and has been isolated from periodontal pockets in periodontitis and exudate from pericoronitis associated with erupting third molars","Although found as part of the normal microbiota of the mouth and gastrointestinal orogenital tracts, Gemella morbillorum is capable of causing a wide range of infections. Most of these can be attributed to spread via the bloodstream and thus infective endocarditis is the commonest. Other infections include meningitis, brain, liver and lung abscess, osteomyelitis and septic thrombophlebitis.",J Clin Microbiol. 1998 Apr;36(4):866-71[PID:9542900]
48,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,sp. oral taxon 048,Phylotype,,,AF385540,9,0.03,294,Oral Clone CA007,,0,9,0,,N/A,,,,,
51,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,vaginalis,Named,,,AY005048,87,0.25,83,,1633,36,581,3736,SEQF1783,N/A,,,,,
52,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,sp. oral taxon 052,Lost,,,To be submitted,0,0,0,Strain TFI DoxG2,,0,1,0,,N/A,,,,,
55,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 055,Dropped,,,AY005046,2,0.01,409,Oral Clone AA007,,0,2,0,,N/A,,,,,
56,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 056,Unnamed,,,AF385545,30,0.09,164,Oral Clone AY020,,0,35,3861,SEQF1847|SEQF2773,N/A,,,,,
57,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 057,Unnamed,,,AF385550,22,0.06,188,Oral Clone BE024,,0,22,0,,N/A,,,,,
58,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 058,Unnamed,,,AY005042|AY005043|AY005044|AY278632,251,0.72,26,Oral Clone BM035|Oral Clone BW009|Oral Clone C3MLM097|Oral Clone CH016,,1,355,3580,SEQF1704,N/A,,,,,
61,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 061,Lost,,,AF432131|AF432132,49,0.14,128,Oral Clone DN025|Oral Clone DP009,,0,49,0,,N/A,,,,,
64,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 064,Unnamed,,,AF385574|AY278609,460,1.32,12,Oral Clone C5MLM037|Oral Clone EK048,,0,460,0,SEQF2662,N/A,,,,,
65,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 065,Dropped,,,AF432134,23,0.07,183,Oral Clone FN042,,0,23,0,,N/A,,,,,
66,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 066,Unnamed,,,AF432135|AF481230,127,0.36,57,Oral Clone FN051|Oral Clone MCE7_144,,0,127,0,SEQF1889,N/A,,,,,
67,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 067,Dropped,,,AF432136,2,0.01,409,Oral Clone FO042,,0,2,0,,N/A,,,,,
68,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 068,Dropped,,,AF432137,32,0.09,158,Oral Clone FP015,,0,32,0,,N/A,,,,,
69,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 069,Dropped,,,AF432139,1,0,459,Oral Clone FP064,,0,1,0,,N/A,,,,,
70,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 070,Unnamed,,,AY005040,131,0.38,55,Hans strain 12A|Hans strain 7A,,0,132,0,SEQF1888,N/A,,,,,
71,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,tigurinus,Named,,ATCC 15914,AY278631|AY207064|AY207062|AY005041,189,0.54,37,Strain TFI H6,,0,226,3150,SEQF1913|SEQF2312,N/A,,,,,
73,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,australis,Named,,ATCC 700641,AF385525|AF184974,179,0.51,39,,113107,8,371,6393,SEQF2020,N/A,,,,,
74,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sp. oral taxon 074,Lost,,,AF385526,54,0.15,118,Strain TFI T4-E3,,0,53,0,,N/A,,,,,
75,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae [G-1],sp. oral taxon 075,Phylotype,,,AF287779,64,0.18,102,Oral Clone A035|Oral Clone F058,,0,0,0,,N/A,,,,,
76,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,warneri,Named,,,L37603,3,0.01,387,Staphylococcus warnerii,1292,203,1200,20673,SEQF2442|SEQF1839|SEQF2208|SEQF2712|SEQF2713,N/A,,,,,
78,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Oribacterium,sp. oral taxon 078,Unnamed,,,AF287771,5,0.01,343,Oral Clone AO068|Strain F0190,,0,335,11275,SEQF1603|SEQF2448,N/A,"A strain of this taxa has recent been isolated, F0190, but not yet characterized.",,,,
80,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Butyrivibrio,sp. oral taxon 080,Phylotype,,,AF287772,4,0.01,365,Clone BB124,,0,0,0,,N/A,,,,,
81,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-7],sp. oral taxon 081,Unnamed,,,AF287764,3,0.01,387,Clone BB142,,0,0,0,SEQF2652,N/A,,,,,
82,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,orale,Named,,CCUG 60305|N1|DSM 24533,AF385552|HQ877677,15,0.04,228, Lachnospiraceae bacterium oral taxon 082 str. F0431 | Lachnospiraceae sp. strain F0431| Lachnospiraceae [G-1] sp. oral taxon 082 | Clone BE088 ,979627,1,2,0,SEQF1881,"Recently named Lachnoanaerobaculum oral in paper ""Lachnoanaerobaculum a new genus in Lachnospiraceae; characterization of Lachnoanaerobaculum umeaense gen. nov., sp. nov., isolated from human small intestine, Lachnoanaerobaculum orale gen. nov., sp. nov., isolated from saliva and reclassification of Eubacterium saburreum (Prevot) Holdeman and Moore 1970 as Lachnoanaerobaculum saburreum comb. nov"". PMID: 22228654. &nbsp;The genome for this strain is available as Lachnospiraceae bacterium oral taxon 082 str. F0431 AGRL00000000.&nbsp; The name change is not yet refledted for the genome at NCBI (11-02-2012).",,,,,
83,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,sp. oral taxon 083,Phylotype,,,AF385557|AF385562,3,0.01,387,Clone BR088|Clone BS091,,0,0,0,,N/A,,,,,
85,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae [G-2],sp. oral taxon 085,Phylotype,,,AF385563,24,0.07,181,Oral Clone BU014,,0,0,0,,N/A,,,,,
86,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnospiraceae [G-7],sp. oral taxon 086,Phylotype,,,AF385567,4,0.01,365,Oral Clone BU061,,0,0,0,,N/A,,,,,
88,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnospiraceae [G-2],sp. oral taxon 088,Phylotype,,,AF287775,1,0,459,,,0,0,0,,N/A,,,,,
89,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,sp. oral taxon 089,Phylotype,,,AF287776,2,0.01,409,Oral Clone CK004,,0,0,0,,N/A,,,,,
90,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Butyrivibrio,sp. oral taxon 090,Phylotype,,,AF287773,1,0,459,Oral Clone CK030,,0,0,0,,N/A,,,,,
91,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-2],sp. oral taxon 091,Phylotype,,,AF287762,5,0.01,343,Oral Clone CK047,,0,0,0,,N/A,,,,,
92,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,weaveri,Named,,,L10738,0,0,0,CDC group M-5,28091,10,221,7615,SEQF2330|SEQF2331,N/A,,,,,
93,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales [F-1],Clostridiales [F-1][G-1],sp. oral taxon 093,Phylotype,,,AF481213,10,0.03,280,Oral Clone CK059|Oral Clone MCE7_107,,0,0,0,,N/A,,,,,
94,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnospiraceae [G-10],sp. oral taxon 094,Phylotype,,,AF287768,2,0.01,409,Oral Clone DA074,,0,2,0,,N/A,,,,,
95,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Shuttleworthia,satelles,Named,,,AF385507|AF385570|AF399956,76,0.22,91,,177972,4,104,4486,SEQF1045,N/A,,,,,
96,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnospiraceae [G-2],sp. oral taxon 096,Unnamed,,,AF385508,20,0.06,198,DO008,,0,0,0,SEQF2649,N/A,,,,,
97,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Stomatobaculum,sp. oral taxon 097,Phylotype,,,AF385510,10,0.03,280,Oral Clone DO016,,0,0,0,,N/A,,,,,
100,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnospiraceae [G-3],sp. oral taxon 100,Phylotype,,,AF385573,58,0.17,112,Oral Clone EI074,,0,0,0,,N/A,,,,,
102,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Oribacterium,sp. oral taxon 102,Unnamed,,,AF481218,16,0.05,224,Oral Clone FB046|Oral Clone MCE7_60,,0,17,0,SEQF2358,N/A,,,,,
103,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-4],sp. oral taxon 103,Phylotype,,,AJ012604,11,0.03,267,Oral Clone PUS9.170,,0,0,0,,N/A,,,,,
105,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-1],[Eubacterium] infirmum,Named,,NCTC 12940,AF287761|U13039,57,0.16,113,Oral strain W 1417,56774,0,0,0,SEQF1695|SEQF1108,"Eubacterium infirmum belongs to a phylogenetic cluster distant from Eubacterium limosum, the type species of the genus and is therefore not a member of Eubacterium sensu stricto. Along with many other members of this poorly-defined genus, E. infirmum will be assigned to a novel genus in due course.","Slow growth on Fastidious Anaerobe Agar + 5% horse blood plates. After 7 days, colonies are approximately 1 mm in diameter, circular, convex and translucent.","Cells are obligately anaerobic, non-spore-forming, nonmotile, Gram-positive, short rods (0.5 &micro;m by 1-2 &micro;m) [1]. Cells occur singly. Asaccharolytic. End-products of metabolism are moderate amounts of acetate and butyrate. The mol% G+C of the DNA is 38.",Found in the human mouth,Isolated from subgingival plaque in periodontitis.,Int J Syst Bacteriol. 1996 Oct;46(4):957-9[PID:8863423]
106,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-7],[Eubacterium] yurii subsp. schtitka,Unnamed,,,AF287765,2,0.01,409,Oral Strain TFI A3MT|Eubacterium yurii,,0,0,0,,N/A,,,,,
107,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Lachnoanaerobaculum,umeaense,Named,,,AF287777|FJ796700|FJ577253,54,0.15,118,  Oral Strain C27KA |   Oral Strain F0167| Lachnospiraceae [G-1] sp. oral taxon 107 |Lachnospiraceae bacterium oral taxon 107 ,,1,2,0,SEQF1478,"Lachnospiraceae bacterium Oral taxon 107 strain F0167 has been isolated from a human subject by the Moore&#39;s Laboratory in March 1988. The subject was a 14 year old American white male. The bacteria was isolated from the subgingival oral biofilm. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference FJ577253. The strain is available at www.bei.org under the reference HM-7.&nbsp;The genome of this strain is available as&nbsp;ADDS00000000.&nbsp; Recently named&nbsp;Lachnoanaerobaculum umeaense&nbsp;in ""Lachnospiraceae; characterization of Lachnoanaerobaculum umeaense gen. nov., sp. nov., isolated from human small intestine, Lachnoanaerobaculum orale gen. nov., sp. nov., isolated from saliva and reclassification of Eubacterium saburreum (Prevot) Holdeman and Moore 1970 as Lachnoanaerobaculum saburreum comb. nov"". PMID: 22228654.&nbsp;&nbsp; The name change is not yet refledted for the genome at NCBI (11-02-2012).",,,,,
108,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae [XIV],Oribacterium,asaccharolyticum,Named,,ACB7,AF287770,22,0.06,188,Oral Strain TFI FTB41,,0,27,4384,SEQF1854,N/A,,,,,
110,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Parvimonas,sp. oral taxon 110,Unnamed,,,AF287767|AY349390,54,0.15,118,Oral Clone AJ062|Oral Clone FJ023|Oral Clone HE064,,0,62,3209,SEQF1676,N/A,,,,,
111,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Parvimonas,micra,Named,,ATCC 33270,AF385559|AF385543,237,0.68,27,Diplococcus glycinophilus|Micromonas micros|Peptococcus glycinophilus|Peptostreptococcus micros|Streptococcus anaerobius|Streptococcus micros,33033,103,431,4480,SEQF1029|SEQF2608,"This species is known to be heterogeneous with micro-variation among 16S rRNA sequences, including between operons within strains and phenotypic variation including colonial appearance [1].","Colonies on horse blood agar are around 1 mm in diameter, circular, entire, opaque white or translucent gray and may be smooth or rough after 4 days anaerobic incubation.",Small (0.3 -0.7 micron diameter) Gram-positive cocci occurring in pairs and short chains [2]. Obligate anaerobe. Strains are asaccharolytic and the end-products of metabolism are primarily acetate with small amounts of lactate and sometimes succinate produced. The mol % G+C content of the DNA is 27-28. ,"Parvimonas micra is a commonly found oral species and is isolated from dental plaque and the tongue in health and a variety of oral disease associated microbiota including periodontitis, endodontic and dentoalveolar infections, pericoronitis and advanced dental caries.","Has been isolated from most types of oral infection. Is a particularly frequent isolate from acute dentoalveolar infections where it is often a member of the 15-20 species consortium associated with the condition. Has also been isolated from clinical specimens obtained from infections at other body sites, primarily soft-tissue abscesses and bite wounds. These are primarily at sites above the diaphragm suggesting that the mouth is the primary habitat.","Int J Syst Bacteriol. 1993 Oct;43(4):787-93[PID:8240959]| Bergeys Manual of Systematic Bacteriology 1986; Vol. 2, pp. 1090-1091."
112,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcus,stomatis,Named,,,AF287763|DQ160208,191,0.55,36,Oral Clone CK035|Oral Strain TFI A21H2,341694,7,345,3186,SEQF1393,N/A,,,,,
113,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilaceae [G-1],sp. oral taxon 113,Unnamed,,,AF287766,18,0.05,211,Oral Clone DA014,,0,0,0,SEQF2443,N/A,,,,,
118,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,invisus,Named,,,AF287787|AF287788,460,1.32,12,Oral Clone BS095|Oral Strain GBA27,218538,24,494,3724,SEQF1103,N/A,,,,,
119,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,sp. oral taxon 119,Phylotype,,,AF287786|AF481210,15,0.04,228,Oral Clone BS016|Oral Clone MCE7_134,,0,15,0,,N/A,,,,,
121,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaeroglobus,geminatus,Named,,,AF287783,155,0.44,47,Oral Clone BB166,156456,3,378,4290,SEQF1880,N/A,,,,,
122,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,micronuciformis,Named,,,AF385566|AY278622,114,0.33,62,Oral Clone BU057|Oral Strain P4A_FAAD16,187326,2,253,3539,SEQF1685,N/A,,,,,
123,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,sp. oral taxon 123,Phylotype,,,AF287784,43,0.12,140,Oral Clone CS025,,0,43,0,,N/A,,,,,
124,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,artemidis,Named,,,AF287797,56,0.16,114,,,5,269,5483,SEQF1697|SEQF2584,N/A,,,,,
125,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,flueggei,Named,,,AF287803|AF287804,23,0.07,183,Oral Clone AH132,135080,3,80,4118,SEQF1616,N/A,,,,,
126,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,sp. oral taxon 126,Unnamed,,,AF287800|AF385576,14,0.04,236,Oral Clone AJ036|Oral Clone EY047,,0,14,0,SEQF2656,N/A,,,,,
129,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonellaceae [G-1],sp. oral taxon 129,Lost,,,To be submitted,21,0.06,192,Oral Clone AU096|Oral Strain TFI FNA3,,0,0,0,,N/A,,,,,
130,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,noxia,Named,,,AF287798|AF287799|AF385495,361,1.04,17,,135083,25,523,7495,SEQF1593|SEQF1690,N/A,,,,,
